address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
9341 E Pershing Ave,SCOTTSDALE,AZ,85260,535000,2348.0,4.0,3.0,62.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9341-E-Pershing-Ave-Scottsdale-AZ-85260/8057066_zpid/
9551 E Redfield Rd UNIT 1031,SCOTTSDALE,AZ,85260,359950,1926.0,3.0,2.5,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/9551-E-Redfield-Rd-UNIT-1031-Scottsdale-AZ-85260/81995349_zpid/
9740 E Karen Dr,SCOTTSDALE,AZ,85260,449000,1937.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9740-E-Karen-Dr-Scottsdale-AZ-85260/8044240_zpid/
13564 N 103rd St,SCOTTSDALE,AZ,85260,373000,1614.0,3.0,2.0,278.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/13564-N-103rd-St-Scottsdale-AZ-85260/8060290_zpid/
9525 E Presidio Rd,SCOTTSDALE,AZ,85260,495000,2253.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9525-E-Presidio-Rd-Scottsdale-AZ-85260/8056882_zpid/
9070 E Gary Rd UNIT 102,SCOTTSDALE,AZ,85260,410000,2001.0,3.0,4.0,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/9070-E-Gary-Rd-UNIT-102-Scottsdale-AZ-85260/8064079_zpid/
9965 E Cholla St,SCOTTSDALE,AZ,85260,3399000,8151.0,5.0,7.0,285.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9965-E-Cholla-St-Scottsdale-AZ-85260/114412864_zpid/
10228 E Cortez Dr,SCOTTSDALE,AZ,85260,1100000,5204.0,4.0,4.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10228-E-Cortez-Dr-Scottsdale-AZ-85260/8049890_zpid/
9239 E Dreyfus Pl,SCOTTSDALE,AZ,85260,474999,2348.0,4.0,2.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9239-E-Dreyfus-Pl-Scottsdale-AZ-85260/8056942_zpid/
11333 N 92nd St UNIT 1059,SCOTTSDALE,AZ,85260,239500,1294.0,2.0,2.0,13.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11333-N-92nd-St-UNIT-1059-Scottsdale-AZ-85260/8059437_zpid/
11330 N Sundown Dr,SCOTTSDALE,AZ,85260,989000,4567.0,5.0,4.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11330-N-Sundown-Dr-Scottsdale-AZ-85260/7864719_zpid/
8838 E Lupine Ave,SCOTTSDALE,AZ,85260,423900,1549.0,3.0,1.75,18.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8838-E-Lupine-Ave-Scottsdale-AZ-85260/8048829_zpid/
